Title,Description,Priority,Status,Labels,Project,Milestone,External ID,Dependencies,Affected files,Acceptance gate,Validation
AMB-FR-011 — Same-intent different-context runtime proof harness,"Severity: Critical
Train: T-C — Private Life Runtime Proof

Problem:
The core moat must be proven in code, not just docs.

Implementation:
Create fixtures with same goal/intent but different local contexts and assert deterministically different Start here outputs with receipts.

Rollback:
Keep existing Today selection logic as fallback.",P0,Todo,"runtime, moat, proof, testing",Ambitions Flagship Remediation Program,Private Life Runtime Proof,AMB-FR-011,"AMB-FR-005, AMB-FR-007","Native/Ambitions/Runtime, Native/Ambitions/Features/Today, Native/AmbitionsTests/Runtime",Executable proof shows different recommended steps from different local contexts.,"Runtime proof tests, explanation diff artifact, replay artifact."
AMB-FR-012 — Deterministic planner rule-engine upgrade,"Severity: High
Train: T-C — Private Life Runtime Proof

Problem:
Planning heuristics need to be deeper than lexical or shallow priority matching.

Implementation:
Build inspectable local rules using context vectors, user defaults, closure evidence, time fit, confidence, fallback reasons, and deterministic traces.

Rollback:
Keep current planner as deterministic fallback.",P0,Todo,"runtime, planning, deterministic, local-first",Ambitions Flagship Remediation Program,Private Life Runtime Proof,AMB-FR-012,AMB-FR-011,"Native/Ambitions/Domain/Planning, Native/Ambitions/Runtime, Native/AmbitionsTests/Runtime","Planner output is local, deterministic, inspectable, and context-aware.","Golden plan tests, edge-case fixtures, no-network assertion, explanation trace tests."
AMB-FR-013 — Today runtime replay and receipt inspector,"Severity: High
Train: T-C — Private Life Runtime Proof

Problem:
Start here recommendations need inspectable proof and replay evidence.

Implementation:
Add receipt/proof drawer with inputs, freshness, local-only source boundaries, time fit, alternatives rejected, and closure/recovery effects.

Rollback:
Expose inspector behind internal flag until stable.",P1,Todo,"today, runtime, receipts, trust",Ambitions Flagship Remediation Program,Private Life Runtime Proof,AMB-FR-013,"AMB-FR-011, AMB-FR-012","Native/Ambitions/Features/Today, Native/Ambitions/Runtime, Native/Ambitions/Persistence",Every Start here recommendation has inspectable proof and replay test coverage.,"Today UI tests, runtime replay tests, receipt snapshot tests."
AMB-FR-014 — User correction loop for runtime trust,"Severity: High
Train: T-C — Private Life Runtime Proof

Problem:
A personal life OS needs corrections that change future behavior without cloud dependence.

Implementation:
Add correction flows for wrong reason, wrong context, wrong capacity, unavailable, still counts, blocked, waiting, and recovery needed.

Rollback:
Persist corrections separately until behavior is proven.",P1,Todo,"runtime, you, trust, feedback",Ambitions Flagship Remediation Program,Private Life Runtime Proof,AMB-FR-014,"AMB-FR-010, AMB-FR-013","Native/Ambitions/Features/You, Native/Ambitions/Features/Today, Native/Ambitions/Runtime",Corrections change future local recommendations and generate receipts.,"Correction loop tests, no-network tests, accessibility flow tests."
AMB-FR-015 — Deep App Intents action surface,"Severity: High
Train: T-D — Apple Platform Depth

Problem:
App Intents should do more than open routes.

Implementation:
Add parameterized intents for capture, goal draft, open current step, start current step, guarded close step, show receipt, and inspect local knowledge.

Rollback:
Disable public shortcut exposure until safety review passes.",P1,Todo,"app-intents, shortcuts, platform, ios26",Ambitions Flagship Remediation Program,Apple Platform Depth,AMB-FR-015,"AMB-FR-003, AMB-FR-013","Native/Ambitions/AppIntents, Native/Ambitions/App",Shortcuts can perform meaningful Ambitions-native actions with safety boundaries.,"App Intent tests, phrase review, route execution tests."
AMB-FR-016 — Spotlight and Handoff object reopening,"Severity: High
Train: T-D — Apple Platform Depth

Problem:
Search and Handoff strategy should be implemented with privacy boundaries.

Implementation:
Index safe summaries for goals, current step, receipts, and captures. Add Handoff reopening for active step and goal detail.

Rollback:
Gate indexing behind opt-in/internal flag.",P1,Todo,"spotlight, handoff, platform, privacy",Ambitions Flagship Remediation Program,Apple Platform Depth,AMB-FR-016,"AMB-FR-007, AMB-FR-010","Native/Ambitions/App, Native/Ambitions/Services, Native/Ambitions/Features",Apple-native reopening works without leaking sensitive private content.,"Indexing tests, redaction tests, Handoff route tests."
AMB-FR-017 — Optional CloudKit continuity decision gate,"Severity: High
Train: T-D — Apple Platform Depth

Problem:
Continuity matters, but it cannot compromise local-first trust or launch stability.

Implementation:
Create a decision gate for optional CloudKit with schema, conflict model, opt-in UX, off switch, privacy copy, and proof tests.

Rollback:
Keep launch local-only if proof is not green.",P1,Todo,"cloudkit, icloud, privacy, persistence",Ambitions Flagship Remediation Program,Apple Platform Depth,AMB-FR-017,"AMB-FR-008, AMB-FR-022","Native/Ambitions/Persistence, Native/Ambitions/Features/You, docs/architecture",No sync implementation proceeds without signed-off privacy and migration strategy.,"Architecture decision record, sync fixture plan, privacy review packet."
AMB-FR-018 — Background maintenance and notification reconciliation,"Severity: High
Train: T-D — Apple Platform Depth

Problem:
The app needs coherent state after relaunch, day rollover, stale notifications, and interrupted sessions.

Implementation:
Add background-safe reconciliation for day maintenance, notification schedule refresh, stale-step closure prompts, and receipt freshness.

Rollback:
Gate background writes until read-only reconciliation is proven.",P2,Todo,"background, notifications, reliability",Ambitions Flagship Remediation Program,Apple Platform Depth,AMB-FR-018,"AMB-FR-008, AMB-FR-013","Native/Ambitions/Services, Native/Ambitions/App, Native/Ambitions/Features/Today",Relaunch and day transitions preserve coherent Today state.,"Clock travel tests, notification reconciliation tests, lifecycle UI tests."
AMB-FR-019 — Widget and Live Activity flagship expansion,"Severity: Medium
Train: T-D — Apple Platform Depth

Problem:
External surfaces should feel like native Ambitions extensions, not demos.

Implementation:
Expand widget families for current step, Today pressure, protected time, capture entry, and recovery state. Add Live Activity proof where appropriate.

Rollback:
Keep existing Next Step widget baseline.",P2,Todo,"widgetkit, activitykit, platform, frontend",Ambitions Flagship Remediation Program,Apple Platform Depth,AMB-FR-019,"AMB-FR-013, AMB-FR-015","Native/AmbitionsWidgetExtension, Native/Ambitions/AppIntents",Widgets and Live Activity states are Ambitions-native and validated.,"Widget snapshots, ActivityKit update tests, lock screen review."
AMB-FR-020 — Accessibility proof matrix and gates,"Severity: Critical
Train: T-E — Trust, Accessibility, Release Lock

Problem:
Accessibility needs device-backed proof across real surfaces.

Implementation:
Create proof matrix for VoiceOver labels/order, Dynamic Type, Reduce Motion, Increase Contrast, tap targets, non-color meaning, and cognitive clarity.

Rollback:
Block release if any P0 accessibility gate is red.",P0,Todo,"accessibility, qa, release",Ambitions Flagship Remediation Program,"Trust, Accessibility, Release Lock",AMB-FR-020,"AMB-FR-001, AMB-FR-004","Sources/Accessibility, Native/Ambitions/Features, Native/AmbitionsUITests",Accessibility status is evidence-backed for all five tabs and key flows.,"Accessibility UI tests, manual audit packet, screenshot proof."
AMB-FR-021 — Device-truth QA and release candidate packet,"Severity: Critical
Train: T-E — Trust, Accessibility, Release Lock

Problem:
Readiness proof must come from device and binary behavior.

Implementation:
Create an RC packet requiring build output, simulator/device matrix, screenshots, accessibility evidence, migration proof, privacy manifest proof, and known limitation log.

Rollback:
Release remains blocked until packet is green.",P0,Todo,"qa, release, device",Ambitions Flagship Remediation Program,"Trust, Accessibility, Release Lock",AMB-FR-021,"AMB-FR-020, AMB-FR-023","Native/AmbitionsTests, Native/AmbitionsUITests, docs/launch, docs/audits",No release can be green without device-backed evidence.,"RC packet, UI tests, migration tests."
AMB-FR-022 — Privacy manifest and App Store declaration alignment,"Severity: High
Train: T-E — Trust, Accessibility, Release Lock

Problem:
Privacy claims must match binary behavior, permissions, logs, indexing, and continuity choices.

Implementation:
Audit permissions, network calls, logs, indexing, analytics/crash behavior, export/sync behavior, and generate privacy readiness artifact.

Rollback:
Remove or gate any feature that cannot be honestly declared.",P0,Todo,"privacy, app-store, release, trust",Ambitions Flagship Remediation Program,"Trust, Accessibility, Release Lock",AMB-FR-022,"AMB-FR-010, AMB-FR-016","Native/Ambitions, docs/launch, docs/privacy","App Store privacy claims, privacy manifest, and code behavior are consistent.","Privacy lint, no-network runtime test, manifest review."
AMB-FR-023 — Local observability and performance baselines,"Severity: High
Train: T-E — Trust, Accessibility, Release Lock

Problem:
A local-first flagship needs measurable performance without leaking private data.

Implementation:
Add local redacted logging, launch-time budget, repository query budget, runtime projection budget, and local diagnostic export.

Rollback:
Diagnostics disabled by default until privacy review passes.",P1,Todo,"performance, observability, privacy, release",Ambitions Flagship Remediation Program,"Trust, Accessibility, Release Lock",AMB-FR-023,"AMB-FR-007, AMB-FR-009","Native/Ambitions/App, Native/Ambitions/Services, Native/Ambitions/Persistence, Native/Ambitions/Runtime",Performance and diagnostics proof exists without private analytics collection.,"Performance baseline script, log redaction tests, launch budget artifact."
AMB-FR-024 — Repo authority collapse and Codex automation manifest,"Severity: High
Train: T-E — Trust, Accessibility, Release Lock

Problem:
Repo governance is strong but heavy; Codex needs fewer sharper authority paths.

Implementation:
Create authority map, stale-doc detector, active batch manifest, train runner instructions, and Green/Yellow/Red proof reporting.

Rollback:
Never delete historical docs without archiving or explicit stale classification.",P1,Todo,"repo-hygiene, codex, governance, docs",Ambitions Flagship Remediation Program,"Trust, Accessibility, Release Lock",AMB-FR-024,,"AGENTS.md, .codex, docs, prompts, scripts","Codex can identify source truth, batch order, validation commands, proof artifacts, and rollback behavior.","Authority lint, stale-doc scan, manifest validation script."
